Full Name,Organization,Position (Verbatim),Position (Type),Year (Start),Year (End)
Merrill Berge,Climate First: Replacing Oil and Gas,Vice Chair Board of Directors,,,
Michael Delbar,California Rangeland Trust,Chief Executive Officer,,2010,
Michael Delbar,Mendocino County,Board of Supervisors,,,
Michael Dieden,Creative Housing Associates,President,,,
Michael Dimock,Roots of Change,President,,,
Michael Dimock,Wild Farm Alliance,Board Member,,,
Michael Evenson,Lost Coast Ranch,Owner,,,
Michael Gargano,Argent Ventures,Managing Director,,,
Michael Montgomery,San Francisco Bay Regional Water Quality Control Board,Executive Officer,,2019,
Michael Montgomery,San Francisco Bay Joint Venture,Board Member,,,
Michael Montgomery,U.S. EPA Region 9,Assistant Director of the Water Division,,,2019
Michael Saragosa,City of Placerville,City Council Member,,,
Michael Saragosa,Sacramento Area Council of Governments,Board Member,,,
Michael Woodbridge,U.S. Forest Service,District Ranger,,,
Michele Clark,Yolo Land Trust,Executive Director,,2010,
Michele Clark,California Rangeland Trust,Transaction Director,,,2010
Michele Clark,Trust for Public Land,Western Regional Counsel,,,
Michelle Barton,California Biodiversity Network,,Member,,
Michelle Barton,Los Angeles Sanitation & Environment,Environmental Specialist,Employee,,
Michelle Nuttall,Southern California Edison,Senior Project Manager,,,
Michelle Selmon,California Biodiversity Network,,Member,,
Michelle Selmon,California Department of Fish and Wildlife,Lands Program Manager,Manager,,
Miguel Ordenana,Natural History Museum of Los Angeles County,Environmental Educator/Wildlife Biologist,,,
Mike Antos,Stantec,Senior Integrated Water Management Specialist,,,
Mike Badger,American Pastured Poultry Producers Association,Director,,,
Mike Best,Central Valley Joint Venture,Board Member,,,
Mike Best,Pacific Gas & Electric,Avian Protection Plan Program Manager,,,
Mike Gallo,California State Board of Food and Agriculture,Agricultural Industry Member,Board Member,,
Mike Gallo,California Partnership for the San Joaquin Valley,,Member,,
Mike Kozlowski,City of Folsom,City Council Member,,,
Mike Kozlowski,Sacramento Area Council of Governments,Board Member,,,
Mike Rizzo,American River Parkway Foundation,Board,Board Member,,
Milton Hernandez Nimatuj,Communities for a Better Environment,Staff,,,
Mita Nagarkar,Caltrans District 4,Associate Environmental Planner,,,
Moira McEnespy,California State Coastal Conservancy,Regional Manager,,,
Moira McEnespy,San Francisco Bay Joint Venture,Board Member,,,
Molly Taylor,PT Ranch,Owner,,,
Molly Watkins,California CattleWomen,,,,
Monica Gan,Caltrans District 4,Associate Environmental Planner,,,
Monica Palmeira,California Public Utilities Commission,Community Engagement Liaison,,,
Monique Fountain,Elkhorn Slough Foundation,Tidal Wetland Program Director,,,
Mott Smith,Civic Enterprise,Principal,,,
Moujan Mostaghimi,Caltrans District 4,Supervising Environmental Planner,,,
Nancy Casady,California State Board of Food and Agriculture,Public Member (Consumer),Board Member,,
Nancy Fluharty,Sierra Foothill Conservancy,Development Program Manager,,,
Naomi Fraga,California Botanic Garden,Director of Conservation Programs,,,
Naomi Fraga,California Biodiversity Network,,Member,,
Naomi Fraga,California Botanic Garden,Director of Conservation Programs,Employee,,
Natasha Keefer,Clean Power Alliance,Director of Power Planning and Procurement,,,
Nicole Braddock,Land Trust Alliance,Leadership Council,,,
Nicole Braddock,Solano Land Trust,Executive Director,,,
Nicole Braddock,TOGETHER Bay Area,Advisor,,,
Nicole Johnson,Native American Land Conservancy,,,,
Nicole Johnson,Tataviam Land Conservancy,,,,
Nicole Molinari,U.S. Forest Service,Southern Province Ecologist,,,
Noemi Emeric-Ford,U.S. EPA Region 9,Land Revitalization Coordinator,,,
Pamela Bulahan,City of Isleton,City Council Member,,,
Pamela Bulahan,Sacramento Area Council of Governments,Board Member,,,
Paolo Perrone,Trust for Public Land,Project Manager,,,
Patricia Manley,USFS Pacific Southwest Region,Supervisory Biological Scientist,,,
Patricia Manley,Tahoe Science Advisory Council,Council Member,,,
Patrick Huber,Agricultural Sustainability Institute,Project Scientist,Employee,,2020
Patrick Huber,City of Davis Open Space and Habitat Commission,Member,Member,2010,
Patrick Huber,Food Systems Lab,Project Scientist,Employee,2020,
Patrick Huber,IC-FOODS,Advisor,Advisor,2019,
Patrick Huber,Information Center for the Environment,Project Scientist,Employee,2009,
Patrick Huber,Lobata Group,Owner,Owner,2016,
Patrick Huber,Lower Putah Creek Coordinating Committee,Member,Member,2014,
Patrick Huber,Science & Collaboration for Connected Wildlands,Scientist,Employee,2009,2010
Patrick Huber,Wildlife Corridor Working Group,Scientific Advisor,Advisor,2016,
Patrick Huber,California Biodiversity Network,,Member,,
Patrick Kennedy,Sacramento Area Council of Governments,Board Member,,,
Patrick Kennedy,Sacramento County,Board of Supervisors,,,
Paul Detjens,Contra Costa County Flood Control and Water Conservation District,Senior Civil Engineer,,,
Paul Edelman,Institute of the Environment and Sustainability,Affiliate,,,
Paul Edelman,Mountains Recreation and Conservation Authority,Chief of Natural Resources and Planning,,,
Paul Edelman,Santa Monica Mountains Conservancy,Deputy Director,,,
Paul Edelman,Wildlife Corridor Working Group,Member,,,
Paul Edelman,Wildlife Corridor Working Group,Member,,,
Paul Granillo,Inland Empire Economic Partnership,President/CEO,,,
Paul Joiner,City of Lincoln,City Council Member,,,
Paul Joiner,Sacramento Area Council of Governments,Board Member,,,
Paul Work,USGS California Water Science Center,Program Chief for Estuarine Hydrodynamics and Sediment Transport,,2013,
Paul Work,Tahoe Science Advisory Council,Council Member,,,
Peter Colby,Western Rivers Conservancy,California Program Director,,2015,
Peter Cowan,Peninsula Open Space Trust,Director of Conservation Science,,2018,
Peter Cowan,Save the Redwoods League,Conservation Analyst,,,2018
Peter Hersh,Riverside County,Planning Consultant,,,
Peter Williams,Network For Landscape Conservation,Steering Committee,Board Member,,
Petrea Marchand,Yolo Habitat Conservancy,Executive Director,,,
Pierre Neu,City of Winters,City Council Member,,,
Pierre Neu,Sacramento Area Council of Governments,Board Member,,,
Porsche Middleton,City of Citrus Heights,City Council Member,,,
Porsche Middleton,Sacramento Area Council of Governments,Board Member,,,
Portia Bramble,North Coast Growers Association,Executive Director,,,
Rachel Norton,California State Parks Foundation,Executive Director,,,
Rachel Norton,Wildlife Corridor Working Group,Member,,,
Rachel Olliff Yang,California Biodiversity Network,,Member,,
Rachel Saunders,Big Sur Land Trust,Director of Conservation,,,
Rachel Saunders,Wildlife Corridor Working Group,Member,,,
Rachel Zwillinger,Central Valley Joint Venture,Board Member,,,
Rachel Zwillinger,Defenders of Wildlife,Water Policy Advisor,,,
Rachelle Arizmendi,California State Board of Food and Agriculture,Agricultural Industry Representative,Board Member,,
Rafaela Floreani Buzbee,California Biodiversity Network,,Member,,
Ralph Benson,Chile California Conservation Network,Co-Director,,,
Ralph Benson,Sonoma Land Trust,Executive Director,,2003,2015
Ralph Benson,Trust for Public Land,"General Counsel, Executive Vice President and Chief Operating Officer",,1979,2003
Ramon Norman,San Joaquin Valley Air Pollution Control District,Staff,,,
Randall Lewis,Lewis Group of Companies,"Executive Vice President, Marketing",,,
Ray Fort,Marin Agricultural Land Trust,Acting Executive Director,,2016,
Ray Hiemstra,Orange County Coastkeeper,Associate Director of Programs,,,
Rebecca Carson,Caltrans District 4,Senior Biologist,,,
Rebecca Fris,California Wildlife Conservation Board,Assistant Executive Director,,,
Rebecca Fris,San Francisco Bay Joint Venture,Board Member,,,
Rebecca Fris,California Biodiversity Network,,Member,,
Rebecca Thistlethwaite,Niche Meat Processor Assistance Network,Director,,,
Reggie Hall,The Conservation Fund,Director of Conservation Loans,,2006,
Renee Casterline,Siskiyou Land Trust,Executive Director,,2017,
Renee Devere-Oki,Sacramento Area Council of Governments,Senior Analyst,Employee,,
Renee Spenst,Ducks Unlimited,Regional Biologist,,,
Rich Desmond,Sacramento Area Council of Governments,Board Member,,,
Rich Desmond,Sacramento County,Board of Supervisors,,,
Rich Lozano,City of Galt,City Council Member,,,
Rich Lozano,Sacramento Area Council of Governments,Board Member,,,
Rick Halsey,California Chaparral Institute,Director,,,
Rick Jennings,City of Sacramento,City Council Member,,,
Rick Jennings,Sacramento Area Council of Governments,Board Member,,,
Rick West,City of Wheatland,City Council Member,,,
Rick West,Sacramento Area Council of Governments,Board Member,,,
Rob Hutsel,San Diego River Park Foundation,President & CEO,,,
Rob Hutsel,Wildlife Corridor Working Group,Member,,,
Robert Flores,Riverside County,Planner,,,
Robert Guerrero,Solano Transportation Authority,Director of Planning,,,
Robin Kulakow,Yolo Basin Foundation,Policy Director,,,
Robyn Krock,Sacramento-San Joaquin Delta Conservancy,Community Projects Supervisor,,,
Ron Kosinski,Caltrans,Deputy District Director,,,
Russell Galipeau,California Biodiversity Network,,Member,,
Ryan Henson,California Wilderness Coalition,Policy Director,,,
Ryan Henson,Wildlife Corridor Working Group,Member,,,
Ryan Olah,U.S. Fish and Wildlife Service,Coast Bay Division Chief,,,
Ryan Silber,California Strategic Growth Council,Program Manager,,,
Ryder Diaz,California Biodiversity Network,,Member,,
Ryder Diaz,Oakland Museum of California,Natural Sciences Curator,Employee,,
Sabrina Drill,California Biodiversity Network,,Member,,
Sabrina Drill,UC Cooperative Extension in Los Angeles County,Natural Resources Advisor,Employee,,
Sabrina Drill,UC Cooperative Extension Ventura County,Natural Resources Advisor,Employee,,
Sabrina L. Drill,UC Cooperative Extension in Los Angeles County,"Natural Resource Advisor, LA and Ventura County",,,
Sallie Calhoun,Paicines Ranch,Owner,,,
Sam Hodder,Save the Redwoods League,President and Chief Executive Officer,,2013,
Sam Veloz,Point Blue Conservation Science,Climate Adaptation Group Director,,2010,
Sam Veloz,San Francisco Bay Joint Venture,Board Member,,,
Sam Young,California Native Plant Society,Important Plant Areas Program Manager,Manager,,
Samuel Diaz,Resources Legacy Fund,Director of Community Engagement,,,
Sandra Jacobson,California Trout,South Coast Region Director,,,
Sandra Jacobson,Wildlife Corridor Working Group,Member,,,
Sara Azat,National Oceanic and Atmospheric Administration,Fish Biologist,,,
Sara French,Amah Mutsun Land Trust,Interim Executive Director,,,
Sarah Barth,Sempervirens Fund,Executive Director,,,
Sarah Friedman,Better World Group,Senior Policy Director,,,
Sarah Hardgrave,Big Sur Land Trust,Staff,,,
Sarah Sawyer,USFS Pacific Southwest Region,Assistant Regional Ecologist,,,
Sarah Vroom,Mattole Restoration Council,Executive Director,,2017,
Schuyler Olsson,San Francisco Bay Conservation and Development Commission,Permit Analyst,,,
Scott McFarlin,California Wildlife Conservation Board,Senior Environmental Scientist,,,
Scott McFarlin,San Francisco Bay Joint Venture,Board Member,,,
Scott Vail,American River Conservancy,Board President,Board Member,,
Shanna Atherton,California Department of Conservation,"Grant Manager, SALCP",,,
Shannon Lucas,CDFW Habitat Conservation Planning Branch,Senior Environmental Scientist Supervisor,,,
Shari Horne,City of Laguna Woods,City Council,,2014,
Shari Horne,Wildlife Corridor Working Group,Member,,,
Shelana deSilva,Save the Redwoods League,Director of Government Affairs and Public Funding,,,
Shelly Allen,Tahoe National Forest,Forest Fire Management Officer,,,
Shelton Douthit,Feather River Land Trust,Executive Director,,2015,
Sheri Emerson,Sonoma County Agricultural Preservation and Open Space District,Stewardship Manager,,,
Sheri Emerson,Wildlife Corridor Working Group,Member,,,
Sherry Pease,Foothill Conservancy,Executive Director,,,
Shon Harris,City of Yuba City,City Council Member,,,
Shon Harris,Sacramento Area Council of Governments,Board Member,,,
Silvia Paz,Alianza,Executive Director,,,
Sofia Rafikova,Planning and Conservation League,Policy Associate,,,
Sofia Rafikova,Wildlife Corridor Working Group,Member,,,
Stefan Galvez-Abadia,Caltrans District 4,District Branch Chief,,,
Stephanie Pincetl,UCLA Institute of the Environment and Sustainability,Professor,,,
Stephen Hohenrieder,Meyer Family Enterprises,CEO and Chief Investment Officer,,,
Steve Goldbeck,San Francisco Bay Conservation and Development Commission,Chief Deputy Director,,2010,
Steve Goldbeck,San Francisco Bay Joint Venture,Board Member,,,
Steve Hobbs,The Conservation Fund,California State Director,,2012,
Steve Polski,Live Better Beef,CEO,,,
Steve Sadro,UCD Department of Environmental Science and Policy,Professor,,,
Steve Sadro,Tahoe Science Advisory Council,Council Member,,,
Steve Sadro,UCD Center for Watershed Sciences,Professor,,,
Stuart Kirkham,Caltrans,Senior Environmental Planner,,,
Stuart Weiss,California Biodiversity Network,,Member,,
Stuart Weiss,Creekside Science,Chief Scientist,Director,,
Sue Frost,Sacramento Area Council of Governments,Board Member,,,
Sue Frost,Sacramento County,Board of Supervisors,,,
Susan Boring,U.S. Fish and Wildlife Service,Staff,,,2020
Susan Kirks,Wildlife Corridor Working Group,Member,,,
Susan Townsend,California Biodiversity Network,,Member,,
Susanna Kirschner,Inland Empire Resource Conservation District,Project Manager,,,
Tanvi Lal,ICF,Environmental Planning Principal,,,
Tanya Diamond,Pathways for Wildlife,Wildlife Biologist,,,
Tanya Diamond,Wildlife Corridor Working Group,Member,,,
Tanya Meyer,California Invasive Plant Council,Board Member,,,
Tanya Meyer,Yolo County Resource Conservation District,Program Manager,,,
Taylor Jang,Peninsula Open Space Trust,Stewardship Project Manager,,,
Tegan Hoffmann,California Biodiversity Network,,Member,,
Tegan Hoffmann,Coastal Quest,Executive Director,Director,,
Terry Watt,Planning and Conservation League,Director,,,
Terry Watt,Wildlife Corridor Working Group,Member,,,
Thomas Grahn,City of Ontario,Senior Planner,,,
Thomas Harris,Peninsula Open Space Trust,Land Transactions Coordinator,,,
Thomas Kendall,U.S. Army Corps of Engineers,San Francisco District Planning Branch Chief,,,
Thomas Kendall,San Francisco Bay Joint Venture,Board Member,,,
Thuy Hua,Los Angeles County Department of Regional Planning,Regional Planner,,,
Tiffany Edwards,Peninsula Open Space Trust,Easement Project Manager,,,
Tiffany Yap,Center for Biological Diversity,"Senior Scientist, Wildlife Corridor Advocate",,,
Tiffany Yap,Wildlife Corridor Working Group,Member,,,
Tim Bryant,California Department of Conservation,Project Manager,,,
Timothy Chorey,California Wildlife Conservation Board,FRGP Statewide Coordinator,,,
Tom Kimball,Western Ecological Research Center,Research Manager,,,
Tom Kimball,San Francisco Bay Joint Venture,Board Member,,,
Tom Kimball,Central Valley Joint Venture,Board Member,,,
Tom Robinson,TOGETHER Bay Area,Project Director,,,
Tom Robinson,Wildlife Corridor Working Group,Member,,,
Tom Stallard,City of Woodland,City Council Member,,,
Tom Stallard,Sacramento Area Council of Governments,Board Member,,,
Tom Tomich,Agricultural Sustainability Institute,Director,,,2020
Tom Tomich,Food Systems Lab,Director,,2020,
Tom Tomich,IC-FOODS,Advisor,,2019,
Tom Tomich,UCD Department of Environmental Science and Policy,Distinguished Professor,Faculty,,
Tony Budrovich,Catalina Island Conservancy,President & Chief Executive Officer,,,
Tony Nelson,Sonoma Land Trust,Sonoma Valley Program Manager,,,
Tony Nelson,Wildlife Corridor Working Group,Member,,,
Tony Tucci,Citizens for Los Angeles Wildlife,Board Chair,,,
Tony Tucci,Wildlife Corridor Working Group,Member,,,
Tracie Reynolds,City of Davis,Leases and Open Space Manager,,,
Tracy Quinn,Metropolitan Water District of Southern California,Board Member,,,
Tracy Quinn,Natural Resources Defense Council,"Director, California Urban Water Policy, Healthy People & Thriving Communities Program",,,
Travis Longcore,Land IQ,Environmental Scientist,,,
Travis Longcore,UCLA Institute of the Environment and Sustainability,Associate Adjunct Professor,,,
Trevor George,Sonoma Land Trust,Staff,,,
Triana Crighton,Solano Transportation Authority,Assistant Planner,,,
Tricia Campbell,Western Riverside County Regional Conservation Authority,,,,
Trinity Burress,City of Colfax,City Council Member,,,
Trinity Burress,Sacramento Area Council of Governments,Board Member,,,
Valerie Davis,California Certified Organic Farmers,,,,
Valerie Eviner,California Biodiversity Network,,Member,,
Valerie Eviner,UCD Department of Plant Sciences,Professor,Faculty,,
Valerie Eviner,California Climate and Agriculture Network,,Advisor,,
Valerie Eviner,Point Blue Conservation Science,,Advisor,,
Valerie Eviner,Owens Lake Scientific Advisory Panel,,Member,,
Vanja Deretic,KPFF Consulting Engineers,Director of Operations and Marketing,,,
Veronica Pearson,Marin County Parks and Open Space,Project Manager,,,
Veronica Pearson,Wildlife Corridor Working Group,Member,,,
Vince Trotter,University of California Agriculture and Natural Resources,Agricultural Ombudsman,,,
Virginia Getz,Ducks Unlimited,Manager of Conservation Programs,,,
Virginia Jameson,DOC Division of Land Resource Protection,Program Manager,,,
Vivek Bhat,Alameda County Transportation Commission,Director of Programming and Project Controls,,,
Wayne Spencer,California Biodiversity Network,,Member,,
Wayne Spencer,Conservation Biology Institute,Head of Science Leadership Team,Employee,,
Wendy Eliot,Sonoma Land Trust,Conservation Director,,,2020
Wendy Thomas,El Dorado County,Board of Supervisors,Board Member,,
Wendy Thomas,Sacramento Area Council of Governments,Board Member,Board Member,,
Will Cipes,Carmel Partners,"Director, Development",,,
Winston Vickers,UCD Wildlife Health Center,Veterinarian,,,
Winston Vickers,Wildlife Corridor Working Group,Scientific Advisor,Advisor,,
Yvette Lopez-Ledesma,The Wilderness Society,Urban to Wild Director,,,
Christopher Schell,UCB Department of Environmental Science Policy and Management,Assistant Professor,Faculty,,
Christopher Schell,California Biodiversity Network,,Member,,
Shelana deSilva,California Biodiversity Network,Steering Committee Member,Member,,
Sam Young,California Biodiversity Network,,Member,,
Sarah Skikne,The Nature Conservancy,NatureNet Fellow,,,
Sarah Skikne,California Biodiversity Network,,Member,,
Doug Johnson,California Biodiversity Network,,Member,,
Doug Johnson,California Invasive Plant Council,Executive Director,Director,,
Sharon Farrell,California Landscape Stewardship Network,Steering Committee Member,Member,,
Sharon Farrell,California Biodiversity Network,,Member,,
Sharon Farrell,Golden Gate National Parks Conservancy,Executive Vice-President of Projects Stewardship & Science,Manager,,
Sharon Farrell,Network For Landscape Conservation,Coordinating Committee Member,Member,,
Carmen Domingo,California Biodiversity Network,,Member,,
Carmen Domingo,SFSU Department of Biology,Professor,Faculty,,
Carmen Domingo,SFSU College of Science & Engineering,Dean,Director,,
Jason Sexton,UCM Department of Life and Environmental Sciences,Associate Professor,Faculty,,
Jason Sexton,California Biodiversity Network,,Member,,
Jay Chamberlin,California Biodiversity Network,,Member,,
Jay Chamberlin,California Department of Parks and Recreation,Natural Resources Division Chief,Manager,,
Kirsten Christopherson,Air Force Civil Engineer Center,West Region Natural Resources Manager,Manager,,
Kirsten Christopherson,California Biodiversity Network,,Member,,
Kate Scow,California Biodiversity Network,,Member,,
Kate Scow,UCD Department of Land Air and Water Resources,Professor Emeritus,Faculty,,
Annika Keeley,California Biodiversity Network,,Member,,
Annika Keeley,Center for Large Landscape Conservation,Senior Conservation Scientist,Employee,,
Nina Sokolov,California Biodiversity Network,,Member,,
Nina Sokolov,UCB Department of Integrative Biology,Graduate Student,Student,,
Karen Pope,Pacific Southwest Research Station,Research Aquatic Ecologist,Employee,,
Karen Pope,California Biodiversity Network,,Member,,
Sam Veloz,California Biodiversity Network,,Member,,
Jennifer Carlin,Marin Agricultural Land Trust,Chief Executive Officer,Director,2022,
Thane Kreiner,Marin Agricultural Land Trust,Chief Executive Officer,Director,2021,2022